    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    65.386246    28.395497    -2.700635    -2.237793     0.020000
    50.047024     0.898104    -2.700635    -3.687988     0.020000
    66.766176    22.301448    -3.223975    -3.362793     0.020000
    36.823861     0.005595    -1.838135    -3.362793     0.020000
    66.867953    23.261344    -3.223975    -3.312988     0.020000
    66.867953    23.261344    -3.223975    -3.312988     0.020000
    36.823861     0.005595    -1.838135    -3.362793     0.020000
    36.818449     0.006060    -1.838135    -3.312988     0.020000
    58.855288    26.169350    -2.073975    -1.862793     0.020000
    67.158469    30.174651    -2.988135    -1.862793     0.020000
    59.084336    26.573959    -2.073975    -1.812988     0.020000
    59.084336    26.573959    -2.073975    -1.812988     0.020000
    67.158469    30.174651    -2.988135    -1.862793     0.020000
    67.194902    30.232399    -2.988135    -1.812988     0.020000
    64.557064    24.966643    -2.648975    -2.612793     0.020000
    61.958629    21.565392    -2.413135    -2.612793     0.020000
    64.621870    25.547945    -2.648975    -2.562988     0.020000
    64.621870    25.547945    -2.648975    -2.562988     0.020000
    61.958629    21.565392    -2.413135    -2.612793     0.020000
    62.072207    22.419548    -2.413135    -2.562988     0.020000
    68.406234    30.756486    -3.798975    -1.112793     0.020000
    68.336596    30.738725    -3.563135    -1.112793     0.020000
    68.413229    30.758317    -3.798975    -1.062988     0.020000
    68.413229    30.758317    -3.798975    -1.062988     0.020000
    68.336596    30.738725    -3.563135    -1.112793     0.020000
    68.348614    30.741874    -3.563135    -1.062988     0.020000
    68.165721    30.343699    -3.727100    -2.519043     0.020000
    55.433137    16.195474    -2.053760    -2.519043     0.020000
    67.385488    21.582469    -3.727100    -3.969238     0.020000
    67.385488    21.582469    -3.727100    -3.969238     0.020000
    55.433137    16.195474    -2.053760    -2.519043     0.020000
    39.998542     0.000857    -2.053760    -3.969238     0.020000
    67.125147    30.426360    -2.577100    -1.019043     0.020000
    68.173652    30.697139    -3.203760    -1.019043     0.020000
    64.102082    25.790834    -2.577100    -2.469238     0.020000
    64.102082    25.790834    -2.577100    -2.469238     0.020000
    68.173652    30.697139    -3.203760    -1.019043     0.020000
